State,State_Abb,Year,sodomy_illega,marriage_ban,marriage_equality,civil_union,employment_discrim_so,hate_crime_so,joint_adoption,adoption_religious_freedom,conversion_therapy_ban,housing_discrim_so,state_ban_local_nondiscrimimation,state_couple_laws
Arkansas,AR,2009,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2010,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2011,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2012,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2013,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2014,0,1,1,0,0,0,0,0,0,0,0,1
Arkansas,AR,2015,0,0,1,0,0,0,0,0,0,0,0,1
Arkansas,AR,2016,0,0,1,0,0,0,0,0,0,0,0,1
Arkansas,AR,2017,0,0,1,0,0,0,0,0,0,0,0,1
Arkansas,AR,2018,0,0,1,0,0,0,0,0,0,0,0,1
Arkansas,AR,2019,0,0,1,0,0,0,0,0,0,0,0,1
Arkansas,AR,2020,0,0,1,0,1,0,0,0,0,0,0,1
California,CA,1991,0,0,0,0,0,0,0,0,0,0,0,0
California,CA,1992,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1993,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1994,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1995,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1996,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1997,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1998,0,0,0,0,1,0,0,0,0,0,0,0
California,CA,1999,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2000,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2001,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2002,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2003,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2004,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2005,0,0,0,0,1,1,0,0,0,1,0,0
California,CA,2006,0,0,0,0,1,1,1,0,0,1,0,1
California,CA,2007,0,0,0,0,1,1,1,0,0,1,0,1
California,CA,2008,0,1,0,0,1,1,1,0,0,1,0,1
California,CA,2009,0,1,0,0,1,1,1,0,0,1,0,1
